24-Sep-2014 12:53:10
Loading and Visualizing Data ...

Initializing Neural Network Parameters ...

Training Neural Network... 
Iteration    1 | Accuracy: 13.10 | Time:    144.7
Iteration  109 | Accuracy: 62.30 | Time: 120314.1
Iteration  110 | Accuracy: 62.30 | Time: 121888.3
Iteration  111 | Accuracy: 62.30 | Time: 123461.5
Iteration  112 | Accuracy: 62.30 | Time: 125401.0
Iteration  113 | Accuracy: 64.30 | Time: 125615.8
Iteration  114 | Accuracy: 64.30 | Time: 127550.4
Iteration  115 | Accuracy: 64.30 | Time: 129297.7
Iteration  116 | Accuracy: 64.30 | Time: 130861.8
Iteration  117 | Accuracy: 64.30 | Time: 132739.8
Iteration  118 | Accuracy: 64.30 | Time: 134628.8
Iteration  119 | Accuracy: 64.46 | Time: 135012.4
Iteration  120 | Accuracy: 64.52 | Time: 135307.1
Iteration  121 | Accuracy: 64.62 | Time: 135514.7
Iteration  122 | Accuracy: 64.62 | Time: 137040.2
Iteration  123 | Accuracy: 65.12 | Time: 137337.3
Iteration  124 | Accuracy: 65.12 | Time: 138856.4
Iteration  125 | Accuracy: 65.12 | Time: 140758.2
Iteration  126 | Accuracy: 65.12 | Time: 142629.4
Iteration  127 | Accuracy: 65.12 | Time: 144452.0
Iteration  128 | Accuracy: 65.12 | Time: 146307.9
Iteration  129 | Accuracy: 65.12 | Time: 147845.2
Iteration  130 | Accuracy: 65.12 | Time: 149371.4
Iteration  131 | Accuracy: 65.12 | Time: 151235.6
Iteration  132 | Accuracy: 65.12 | Time: 152752.8
Iteration  133 | Accuracy: 65.12 | Time: 154303.9
Iteration  134 | Accuracy: 65.12 | Time: 155869.4
Iteration  135 | Accuracy: 65.12 | Time: 157404.8
Iteration  136 | Accuracy: 65.12 | Time: 159284.4
Iteration  137 | Accuracy: 64.76 | Time: 159492.4
Iteration  138 | Accuracy: 64.76 | Time: 161052.8
Iteration  139 | Accuracy: 65.57 | Time: 161268.0
Iteration  140 | Accuracy: 65.57 | Time: 162798.3
Iteration  141 | Accuracy: 65.57 | Time: 164381.3
Iteration  142 | Accuracy: 65.57 | Time: 165919.8
Iteration  143 | Accuracy: 65.57 | Time: 167454.4
Iteration  144 | Accuracy: 65.57 | Time: 168988.7
Iteration  145 | Accuracy: 65.57 | Time: 170858.4
Iteration  146 | Accuracy: 65.57 | Time: 172623.1
Iteration  147 | Accuracy: 66.04 | Time: 172903.1
Iteration  148 | Accuracy: 66.04 | Time: 174433.3
Iteration  149 | Accuracy: 66.04 | Time: 176131.4
Iteration  150 | Accuracy: 66.04 | Time: 177689.6
Iteration  151 | Accuracy: 66.04 | Time: 179221.1
Iteration  152 | Accuracy: 66.04 | Time: 180750.5
Iteration  153 | Accuracy: 66.04 | Time: 182454.9
Iteration  154 | Accuracy: 65.86 | Time: 182752.2
Iteration  155 | Accuracy: 65.86 | Time: 184289.6
Iteration  156 | Accuracy: 66.22 | Time: 184586.6
Iteration  157 | Accuracy: 66.22 | Time: 186112.5
Iteration  158 | Accuracy: 66.22 | Time: 187641.9
Iteration  159 | Accuracy: 66.22 | Time: 189358.1
Iteration  160 | Accuracy: 66.22 | Time: 190897.1
Iteration  161 | Accuracy: 66.22 | Time: 192763.6
Iteration  162 | Accuracy: 66.29 | Time: 193201.1
