27-Sep-2014 14:56:32
Loading and Visualizing Data ...

Training Neural Network... 
Iteration    1 | Accuracy: 91.30 | Time:    210.8
Iteration  110 | Accuracy: 91.89 | Time:  25754.0
Iteration  111 | Accuracy: 91.83 | Time:  25941.3
Iteration  112 | Accuracy: 91.90 | Time:  26221.2
Iteration  113 | Accuracy: 91.84 | Time:  26408.5
Iteration  114 | Accuracy: 91.92 | Time:  26698.2
Iteration  115 | Accuracy: 91.85 | Time:  26885.6
Iteration  116 | Accuracy: 91.92 | Time:  27166.1
Iteration  117 | Accuracy: 91.85 | Time:  27353.3
Iteration  118 | Accuracy: 91.91 | Time:  27634.3
Iteration  119 | Accuracy: 91.88 | Time:  27821.7
Iteration  120 | Accuracy: 91.92 | Time:  28102.0
Iteration  121 | Accuracy: 91.87 | Time:  28289.3
Iteration  122 | Accuracy: 91.91 | Time:  28570.7
Iteration  123 | Accuracy: 91.88 | Time:  28758.5
Iteration  124 | Accuracy: 91.92 | Time:  29039.4
Iteration  125 | Accuracy: 91.89 | Time:  29227.4
Iteration  126 | Accuracy: 91.94 | Time:  29508.8
Iteration  127 | Accuracy: 91.92 | Time:  29789.9
Iteration  128 | Accuracy: 91.95 | Time:  30073.3
Iteration  129 | Accuracy: 91.92 | Time:  30260.8
Iteration  130 | Accuracy: 91.96 | Time:  30542.9
Iteration  131 | Accuracy: 91.91 | Time:  30733.0
Iteration  132 | Accuracy: 91.99 | Time:  31023.6
Iteration  133 | Accuracy: 91.96 | Time:  31211.0
Iteration  134 | Accuracy: 91.97 | Time:  31491.7
Iteration  135 | Accuracy: 91.94 | Time:  31679.2
Iteration  136 | Accuracy: 92.00 | Time:  31960.1
Iteration  137 | Accuracy: 91.97 | Time:  32240.9
Iteration  138 | Accuracy: 92.01 | Time:  32521.6
Iteration  139 | Accuracy: 91.98 | Time:  32709.2
Iteration  140 | Accuracy: 92.03 | Time:  32991.7
Iteration  141 | Accuracy: 92.01 | Time:  33179.3
Iteration  142 | Accuracy: 92.05 | Time:  33459.9
Iteration  143 | Accuracy: 92.02 | Time:  33650.3
Iteration  144 | Accuracy: 92.06 | Time:  33931.5
Iteration  145 | Accuracy: 92.04 | Time:  34118.9
Iteration  146 | Accuracy: 92.08 | Time:  34399.4
Iteration  147 | Accuracy: 92.06 | Time:  34680.0
Iteration  148 | Accuracy: 92.07 | Time:  34960.8
Iteration  149 | Accuracy: 92.05 | Time:  35148.5
Iteration  150 | Accuracy: 92.11 | Time:  35428.9
Iteration  151 | Accuracy: 92.09 | Time:  35616.2
Iteration  152 | Accuracy: 92.11 | Time:  35896.8
Iteration  153 | Accuracy: 92.09 | Time:  36177.9
Iteration  154 | Accuracy: 92.12 | Time:  36535.2
Iteration  155 | Accuracy: 92.07 | Time:  36723.0
Iteration  156 | Accuracy: 92.14 | Time:  37004.2
Iteration  157 | Accuracy: 92.13 | Time:  37191.7
Iteration  158 | Accuracy: 92.16 | Time:  37473.2
Iteration  159 | Accuracy: 92.14 | Time:  37754.9
Iteration  160 | Accuracy: 92.17 | Time:  38035.9
Iteration  161 | Accuracy: 92.15 | Time:  38223.7
Iteration  162 | Accuracy: 92.16 | Time:  38504.5
Iteration  163 | Accuracy: 92.16 | Time:  38693.4
Iteration  164 | Accuracy: 92.17 | Time:  38974.6
Iteration  165 | Accuracy: 92.21 | Time:  39255.5
Iteration  166 | Accuracy: 92.17 | Time:  39536.8
Iteration  167 | Accuracy: 92.21 | Time:  39724.2
Iteration  168 | Accuracy: 92.19 | Time:  40005.4
Iteration  169 | Accuracy: 92.24 | Time:  40193.1
Iteration  170 | Accuracy: 92.17 | Time:  40474.3
Iteration  171 | Accuracy: 92.24 | Time:  40755.7
Iteration  172 | Accuracy: 92.22 | Time:  41037.0
Iteration  173 | Accuracy: 92.25 | Time:  41225.4
Iteration  174 | Accuracy: 92.24 | Time:  41507.9
Iteration  175 | Accuracy: 92.26 | Time:  41695.3
Iteration  176 | Accuracy: 92.23 | Time:  41976.5
Iteration  177 | Accuracy: 92.27 | Time:  42257.5
Iteration  178 | Accuracy: 92.23 | Time:  42540.0
Iteration  179 | Accuracy: 92.26 | Time:  42727.3
Iteration  180 | Accuracy: 92.27 | Time:  43008.2
Iteration  181 | Accuracy: 92.29 | Time:  43195.5
Iteration  182 | Accuracy: 92.25 | Time:  43477.4
Iteration  183 | Accuracy: 92.30 | Time:  43759.1
Iteration  184 | Accuracy: 92.26 | Time:  44045.7
Iteration  185 | Accuracy: 92.29 | Time:  44233.5
Iteration  186 | Accuracy: 92.28 | Time:  44514.7
Iteration  187 | Accuracy: 92.32 | Time:  44702.8
Iteration  188 | Accuracy: 92.28 | Time:  44984.0
Iteration  189 | Accuracy: 92.32 | Time:  45265.2
Iteration  190 | Accuracy: 92.33 | Time:  45547.1
Iteration  191 | Accuracy: 92.33 | Time:  45734.9
Iteration  192 | Accuracy: 92.36 | Time:  46016.0
Iteration  193 | Accuracy: 92.34 | Time:  46203.8
Iteration  194 | Accuracy: 92.35 | Time:  46484.7
Iteration  195 | Accuracy: 92.37 | Time:  46765.7
Iteration  196 | Accuracy: 92.36 | Time:  47046.5
Iteration  197 | Accuracy: 92.37 | Time:  47234.7
Iteration  198 | Accuracy: 92.38 | Time:  47516.0
Iteration  199 | Accuracy: 92.40 | Time:  47704.1
Iteration  200 | Accuracy: 92.40 | Time:  47985.1
